gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2801166380	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848651607	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Whitcomb Mountain.B	New Hampshire	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.7335	-71.3567							2019-06-23T00:00:00	23	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848651607				CC0_1_0		obsr948152			2020-09-08T21:43:51.699Z		
2800987683	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848657220	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Big Jay.1	Vermont	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.9228	-72.5339							2019-06-18T00:00:00	18	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848657220				CC0_1_0		obsr948152			2020-09-08T21:29:36.163Z		
2800987681	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848654746	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Baldpate.4	Maine	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.6041	-70.8999							2019-06-09T00:00:00	9	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848654746				CC0_1_0		obsr948152			2020-09-08T21:29:36.162Z		
2800900128	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848694959	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Slide.6	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	42.001	-74.3957							2019-06-19T00:00:00	19	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848694959				CC0_1_0		obsr948152			2020-09-08T21:32:29.850Z		
2800900118	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848665140	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	East Mountain.2	Vermont	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.6558	-71.7703							2019-06-06T00:00:00	6	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848665140				CC0_1_0		obsr948152			2020-09-08T21:32:29.847Z		
2800900115	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848654980	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Baldpate.4	Maine	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.6041	-70.8999							2019-06-09T00:00:00	9	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848654980				CC0_1_0		obsr948152			2020-09-08T21:32:29.846Z		
2800844005	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_ME:OBS926763739	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	AP124; A_26-d	Maine	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	44.921	-70.5242							2019-06-26T00:00:00	26	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD_ATL_ME	OBS926763739				CC0_1_0		obsr556774			2020-09-08T21:28:23.866Z		
2800761324	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848685452	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Mansfield.2	Vermont	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.5268	-72.8074							2019-06-16T00:00:00	16	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848685452				CC0_1_0		obsr948152			2020-09-08T21:29:48.427Z		
2800684622	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS819651342	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Mt. Washington	New Hampshire	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.2713	-71.303							2018-06-12T00:00:00	12	6	2018	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS819651342				CC0_1_0		obsr143077			2020-09-08T21:32:28.576Z		
2800680144	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS793658944	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Mount Washington Auto Rd Randolph NH United States	New Hampshire	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.2924	-71.2813							2018-06-09T00:00:00	9	6	2018	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS793658944				CC0_1_0		obsr329203			2020-09-08T21:42:26.248Z		
2800575343	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_QC:OBS820165369	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		CA	Parc régional du Massif-du-Sud--Sentier du Mont du Midi	Quebec	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	46.5837	-70.478							2014-06-28T00:00:00	28	6	2014	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD_QC	OBS820165369				CC0_1_0		obsr426423			2020-09-08T21:33:02.366Z		
2800562714	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848654628	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Baldpate.3	Maine	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.6063	-70.8993							2019-06-09T00:00:00	9	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848654628				CC0_1_0		obsr948152			2020-09-08T21:29:39.551Z		
2800559778	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS849421966	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Huntington Ravine.2	New Hampshire	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.2662	-71.2737							2019-06-23T00:00:00	23	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS849421966				CC0_1_0		obsr948152			2020-09-08T21:24:07.252Z		
2800559469	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848688584	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Plateau Mountain North.4	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	42.1514	-74.1852							2019-06-15T00:00:00	15	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848688584				CC0_1_0		obsr948152			2020-09-08T21:24:07.096Z		
2800508884	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_QC:OBS936655352	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		CA	Université Laval--boisés campus	Quebec	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	46.7802	-71.2767							2010-09-25T00:00:00	25	9	2010	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD_QC	OBS936655352				CC0_1_0		obsr56301			2020-09-08T21:22:59.018Z		
2800399652	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848687889	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Mount Ellen.1	Vermont	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.1579	-72.9285							2019-06-23T00:00:00	23	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848687889				CC0_1_0		obsr948152			2020-09-08T21:30:10.106Z		
2800350553	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848691251	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Sandwich Dome.4	New Hampshire	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	43.9025	-71.484							2019-06-09T00:00:00	9	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848691251				CC0_1_0		obsr948152			2020-09-08T21:25:30.805Z		
2800288237	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS927713513	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Mount Washington Auto Road	New Hampshire	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.2894	-71.2289							2012-06-08T00:00:00	8	6	2012	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS927713513				CC0_1_0		obsr1382995			2020-09-08T21:33:22.233Z		
